Sample	Read1 Counts	Read2 Counts	
2_UKRC_10	1589790	1589790	
2_UKRC_11	7269016	7269016	
2_UKRC_2	3050949	3050949	
2_UKRC_25	6160058	6160058	
2_UKRC_27	4420418	4420418	
2_UKRC_30	2662536	2662536	
2_UKRC_31	2692838	2692838	
2_UKRC_32	5461726	5461726	
2_UKRC_5	3767534	3767534	
2_UKRC_55	872101	872101	
2_UKRC_57	3457090	3457090	
2_UKRC_70	9597919	9597919	
2_UKRC_88	5554251	5554251	
2_UKRC_92	3064275	3064275	
C_five_large	1189878	1189878	
C_hominis_30976_large	257102	257102	
C_parvum_IOWA-ATCC_large	256947	256947	
C_ten_large	2244357	2244259	
C_three_large	699610	699610	
C_twelve_large	2755323	2755323	
