Sample	Read1 Counts	Read2 Counts	
2_UKRC_10	1437836	1437836	
2_UKRC_11	6843470	6843470	
2_UKRC_2	2811558	2811558	
2_UKRC_25	5799405	5799405	
2_UKRC_27	3965192	3965192	
2_UKRC_30	2484370	2484370	
2_UKRC_31	2444281	2444281	
2_UKRC_32	4993246	4993246	
2_UKRC_5	3488927	3488927	
2_UKRC_55	830647	830647	
2_UKRC_57	3296918	3296918	
2_UKRC_70	9186708	9186708	
2_UKRC_88	5222239	5222239	
2_UKRC_92	2564071	2564071	
C_five_large	1189682	1189682	
C_hominis_30976_large	257064	257064	
C_parvum_IOWA-ATCC_large	256899	256899	
C_ten_large	843850	843850	
C_three_large	699492	699492	
C_twelve_large	2754740	2754740	
