target_id	species	chromosome_info
lcl|C_andersoni-LRBS01000121.1	C. andersoni	LRBS01000121.1
lcl|C_andersoni-LRBS01000027.1	C. andersoni	LRBS01000027.1
lcl|C_andersoni-LRBS01000095.1	C. andersoni	LRBS01000095.1
lcl|C_andersoni-LRBS01000131.1	C. andersoni	LRBS01000131.1
lcl|C_andersoni-LRBS01000092.1	C. andersoni	LRBS01000092.1
lcl|C_andersoni-LRBS01000071.1	C. andersoni	LRBS01000071.1
lcl|C_andersoni-LRBS01000064.1	C. andersoni	LRBS01000064.1
lcl|C_andersoni-LRBS01000013.1	C. andersoni	LRBS01000013.1
lcl|C_andersoni-LRBS01000012.1	C. andersoni	LRBS01000012.1
lcl|C_andersoni-LRBS01000016.1	C. andersoni	LRBS01000016.1
lcl|C_andersoni-LRBS01000104.1	C. andersoni	LRBS01000104.1
lcl|C_andersoni-LRBS01000122.1	C. andersoni	LRBS01000122.1
lcl|C_andersoni-LRBS01000051.1	C. andersoni	LRBS01000051.1
lcl|C_andersoni-LRBS01000132.1	C. andersoni	LRBS01000132.1
lcl|C_andersoni-LRBS01000023.1	C. andersoni	LRBS01000023.1
lcl|C_andersoni-LRBS01000088.1	C. andersoni	LRBS01000088.1
lcl|C_andersoni-LRBS01000065.1	C. andersoni	LRBS01000065.1
lcl|C_andersoni-LRBS01000129.1	C. andersoni	LRBS01000129.1
lcl|C_andersoni-LRBS01000133.1	C. andersoni	LRBS01000133.1
lcl|C_andersoni-LRBS01000021.1	C. andersoni	LRBS01000021.1
lcl|C_andersoni-LRBS01000087.1	C. andersoni	LRBS01000087.1
lcl|C_andersoni-LRBS01000042.1	C. andersoni	LRBS01000042.1
lcl|C_andersoni-LRBS01000014.1	C. andersoni	LRBS01000014.1
lcl|C_andersoni-LRBS01000116.1	C. andersoni	LRBS01000116.1
lcl|C_andersoni-LRBS01000006.1	C. andersoni	LRBS01000006.1
lcl|C_andersoni-LRBS01000054.1	C. andersoni	LRBS01000054.1
lcl|C_andersoni-LRBS01000115.1	C. andersoni	LRBS01000115.1
lcl|C_andersoni-LRBS01000009.1	C. andersoni	LRBS01000009.1
lcl|C_andersoni-LRBS01000029.1	C. andersoni	LRBS01000029.1
lcl|C_andersoni-LRBS01000028.1	C. andersoni	LRBS01000028.1
lcl|C_andersoni-LRBS01000108.1	C. andersoni	LRBS01000108.1
lcl|C_andersoni-LRBS01000093.1	C. andersoni	LRBS01000093.1
lcl|C_andersoni-LRBS01000015.1	C. andersoni	LRBS01000015.1
lcl|C_andersoni-LRBS01000134.1	C. andersoni	LRBS01000134.1
lcl|C_andersoni-LRBS01000041.1	C. andersoni	LRBS01000041.1
lcl|C_andersoni-LRBS01000135.1	C. andersoni	LRBS01000135.1
lcl|C_andersoni-LRBS01000086.1	C. andersoni	LRBS01000086.1
lcl|C_andersoni-LRBS01000113.1	C. andersoni	LRBS01000113.1
lcl|C_andersoni-LRBS01000127.1	C. andersoni	LRBS01000127.1
lcl|C_andersoni-LRBS01000045.1	C. andersoni	LRBS01000045.1
lcl|C_andersoni-LRBS01000075.1	C. andersoni	LRBS01000075.1
lcl|C_andersoni-LRBS01000048.1	C. andersoni	LRBS01000048.1
lcl|C_andersoni-LRBS01000025.1	C. andersoni	LRBS01000025.1
lcl|C_andersoni-LRBS01000043.1	C. andersoni	LRBS01000043.1
lcl|C_andersoni-LRBS01000001.1	C. andersoni	LRBS01000001.1
lcl|C_andersoni-LRBS01000036.1	C. andersoni	LRBS01000036.1
lcl|C_andersoni-LRBS01000105.1	C. andersoni	LRBS01000105.1
lcl|C_andersoni-LRBS01000112.1	C. andersoni	LRBS01000112.1
lcl|C_andersoni-LRBS01000057.1	C. andersoni	LRBS01000057.1
lcl|C_andersoni-LRBS01000049.1	C. andersoni	LRBS01000049.1
lcl|C_andersoni-LRBS01000097.1	C. andersoni	LRBS01000097.1
lcl|C_andersoni-LRBS01000106.1	C. andersoni	LRBS01000106.1
lcl|C_andersoni-LRBS01000031.1	C. andersoni	LRBS01000031.1
lcl|C_andersoni-LRBS01000085.1	C. andersoni	LRBS01000085.1
lcl|C_andersoni-LRBS01000032.1	C. andersoni	LRBS01000032.1
lcl|C_andersoni-LRBS01000020.1	C. andersoni	LRBS01000020.1
lcl|C_andersoni-LRBS01000125.1	C. andersoni	LRBS01000125.1
lcl|C_andersoni-LRBS01000107.1	C. andersoni	LRBS01000107.1
lcl|C_andersoni-LRBS01000062.1	C. andersoni	LRBS01000062.1
lcl|C_andersoni-LRBS01000010.1	C. andersoni	LRBS01000010.1
lcl|C_andersoni-LRBS01000067.1	C. andersoni	LRBS01000067.1
lcl|C_andersoni-LRBS01000128.1	C. andersoni	LRBS01000128.1
lcl|C_andersoni-LRBS01000099.1	C. andersoni	LRBS01000099.1
lcl|C_andersoni-LRBS01000007.1	C. andersoni	LRBS01000007.1
lcl|C_andersoni-LRBS01000037.1	C. andersoni	LRBS01000037.1
lcl|C_andersoni-LRBS01000109.1	C. andersoni	LRBS01000109.1
lcl|C_andersoni-LRBS01000083.1	C. andersoni	LRBS01000083.1
lcl|C_andersoni-LRBS01000044.1	C. andersoni	LRBS01000044.1
lcl|C_andersoni-LRBS01000005.1	C. andersoni	LRBS01000005.1
lcl|C_andersoni-LRBS01000038.1	C. andersoni	LRBS01000038.1
lcl|C_andersoni-LRBS01000070.1	C. andersoni	LRBS01000070.1
lcl|C_andersoni-LRBS01000096.1	C. andersoni	LRBS01000096.1
lcl|C_andersoni-LRBS01000003.1	C. andersoni	LRBS01000003.1
lcl|C_andersoni-LRBS01000061.1	C. andersoni	LRBS01000061.1
lcl|C_andersoni-LRBS01000117.1	C. andersoni	LRBS01000117.1
